Palabras;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
destrucción;1;0;0;0;0;0;0;0
destructivo;1;0;1;1;0;0;0;0
despegar;0;0;0;0;0;0;0;0
separado;0;0;0;0;0;0;0;0
desapego;0;0;0;0;0;0;0;0
detalle;0;0;0;0;0;0;0;0
detalles;0;0;0;0;0;0;0;0
detener;0;0;0;0;0;0;0;0
detenido;1;1;0;1;0;1;0;0
detectar;0;0;0;0;0;0;0;0
detectable;0;0;0;0;0;0;0;0
detección;0;0;0;0;0;0;0;0
detective;0;0;0;0;0;0;0;0
detector;0;0;0;0;0;0;0;0
detención;0;0;0;0;0;1;0;0
desalentar;0;0;0;0;0;0;0;0
detergente;0;0;0;0;0;0;0;0
deteriorarse;0;0;0;1;0;1;0;0
deteriorado;0;0;1;0;0;1;0;0
deterioro;1;0;1;1;0;1;0;0
determinable;0;0;0;0;0;0;0;0
NO TRANSLATION;0;1;0;0;0;0;0;1
determinación;0;0;0;0;0;0;0;1
determinado;0;0;0;0;0;0;0;0
detestar;1;0;1;0;0;0;0;0
detonar;0;0;0;1;0;0;1;0
detonación;1;0;0;0;0;0;0;0
desvío;0;0;0;0;0;0;0;0
detraer;1;0;0;0;0;0;0;0
detrimento;0;0;0;0;0;0;0;0
perjudicial;0;0;0;0;0;0;0;0
detrito;0;0;0;0;0;0;0;0
dos;0;0;0;0;0;0;0;0
devastar;1;0;0;1;0;1;0;0
devastador;1;0;1;1;0;1;0;1
devastación;1;0;0;1;0;1;1;0
desarrollar;0;1;0;0;0;0;0;0
desarrollando;0;0;0;0;0;0;0;0
desarrollo;0;0;0;0;0;0;0;0
desviarse;0;0;0;0;0;0;0;0
desviando;0;0;0;0;0;0;0;0
desviación;0;0;0;0;0;1;0;0
dispositivo;0;0;0;0;0;0;0;0
diablo;1;1;1;1;0;1;0;0
diabólico;0;0;1;1;0;0;0;0
tortuoso;0;0;0;0;0;0;0;0
idear;0;0;0;0;0;0;0;0
vacío;0;0;0;0;0;0;0;0
devolución;0;0;0;0;0;0;0;0
delegar;0;0;0;0;0;0;0;0
dedicar;0;0;0;0;0;0;0;0
devoto;0;0;0;0;0;0;0;0
piadoso;0;0;0;0;0;0;0;1
devorar;0;0;0;0;0;0;0;0
devoto;0;1;0;0;1;0;0;1
Rocío;0;0;0;0;0;0;0;0
diestro;0;0;0;0;0;0;0;0
destreza;0;0;0;0;0;0;0;0
dextrosa;0;0;0;0;0;0;0;0
diabólico;1;0;1;1;0;0;0;0
diagnóstico;0;1;0;1;0;0;0;1
diagnóstico;0;0;0;0;0;0;0;0
diagnóstico;0;0;0;0;0;0;0;0
diagrama;0;0;0;0;0;0;0;0
marcar;0;0;0;0;0;0;0;0
dialecto;0;0;0;0;0;0;0;0
dialéctico;0;0;0;0;0;0;0;0
diálogo;0;0;0;0;0;0;0;0
diámetro;0;0;0;0;0;0;0;0
diamante;0;0;0;0;1;0;0;0
diamantes;0;0;0;0;0;0;0;0
pañal;0;0;1;0;0;0;0;0
diafragma;0;0;0;0;0;0;0;0
Diarrea;0;0;1;0;0;0;0;0
diario;0;0;0;0;1;0;0;1
diatriba;1;0;1;0;0;0;0;0
dado;0;0;0;0;0;0;0;0
dicotómico;0;0;0;0;0;0;0;0
dicotomía;0;0;0;0;0;0;0;0
dictar;0;0;0;0;0;0;0;0
dictado;0;0;0;0;0;0;0;0
dictador;0;0;0;1;0;0;0;0
dictatorial;1;0;0;0;0;0;0;0
dictadura;1;1;1;1;0;1;0;0
dicción;0;0;0;0;0;0;0;0
diccionario;0;0;0;0;0;0;0;1
NO TRANSLATION;0;0;0;0;0;0;0;1
didáctico;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;1;0;1;0;0
dieta;0;0;0;0;0;0;0;0
dietético;0;1;0;0;0;0;0;0
diferir de;0;0;0;0;0;0;0;0
diferencia;0;0;0;0;0;0;0;0
diferencias;0;0;0;0;0;0;0;0
diferencial;0;0;0;0;0;0;0;1
diferenciación;0;0;0;0;0;0;0;0
diferentemente;0;0;0;0;0;0;1;0
diferente;0;0;0;0;0;0;0;0
difícil;0;0;0;1;0;0;0;0
dificultades;0;0;0;0;0;1;0;0
dificultad;1;0;0;1;0;1;0;0
difuso;0;0;0;0;0;0;0;0
difusión;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
digerir;0;0;0;0;0;0;0;0
digestión;0;0;0;0;0;0;0;0
dígito;0;0;0;0;0;0;0;1
digno;0;0;0;0;0;0;0;0
dignidad;0;0;0;0;0;0;0;1
divagar;0;1;0;0;0;0;0;0
alojamiento;0;0;0;0;0;0;0;0
dique;0;0;0;1;0;0;0;0
arruinado;0;0;1;0;0;1;0;0
dilatación;0;0;0;0;0;0;0;0
dilatación;0;0;0;0;0;0;0;0
dilema;0;0;0;0;0;0;0;0
diligencia;0;0;0;0;0;0;0;1
diligente;0;0;0;0;0;0;0;0
diluente;0;0;0;0;0;0;0;0
diluido;0;0;0;0;0;0;0;0
diluido;0;0;0;0;0;0;0;0
dilución;0;0;0;0;0;0;0;0
moneda de diez centavos;0;0;0;0;0;0;0;0
dimensión;0;0;0;0;0;0;0;0
disminuir;0;0;0;0;0;1;0;0
disminuido;0;0;0;0;0;0;0;0
disminución;0;0;0;0;0;0;0;0
diminutivo;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
cenar;0;0;0;0;0;0;0;0
cena;0;0;0;0;0;0;0;0
cena;0;0;0;0;0;0;0;0
dinosaurio;0;0;0;1;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
diocesano;0;0;0;0;0;0;0;0
diócesis;0;0;0;0;0;0;0;0
diorama;0;0;0;0;0;0;0;0
inmersión;0;0;0;0;0;0;0;0
diploma;0;0;0;0;0;0;0;0
diplomacia;0;1;0;0;0;0;0;1
diplomático;0;0;0;0;0;0;0;0
diplomático;0;0;0;0;0;0;0;1
NO TRANSLATION;0;0;1;1;0;1;1;0
dirigido;0;0;0;0;0;0;0;0
dirección;0;0;0;0;0;0;0;0
directamente;0;0;0;0;0;0;0;0
director;0;0;0;0;0;0;0;1
directorio;0;0;0;0;0;0;0;0
suciedad;0;0;1;0;0;0;0;0
sucio;0;0;1;0;0;0;0;0
discapacidad;0;0;0;0;0;1;0;0
inhabilitar;0;0;0;1;0;1;0;0
discapacitado;0;0;0;1;0;1;0;0
desventaja;0;0;0;0;0;0;0;0
desafecto;0;0;0;0;0;0;0;0
discrepar;1;0;0;0;0;0;0;0
desagradable;0;0;0;0;0;0;0;0
en desacuerdo;1;0;0;0;0;1;0;0
desacuerdo;1;0;0;0;0;1;0;0
rechazar;0;0;0;0;0;0;0;0
no permitido;1;0;1;1;0;1;0;0
desaparecer;0;0;0;1;0;0;0;0
desaparición;0;0;0;0;0;0;0;0
desapareciendo;0;0;0;0;0;0;0;0
decepcionar;1;0;1;0;0;1;0;0
decepcionado;1;0;1;0;0;1;0;0
decepcionante;0;0;0;0;0;1;0;0
decepción;0;0;1;0;0;1;0;0
desaprobación;0;0;0;0;0;1;0;0
desaprobar;1;0;1;1;0;1;0;0
desaprobado;1;0;0;0;0;1;0;0
desaprobación;1;0;1;0;0;1;0;0
desarmar;0;0;0;0;0;0;0;0
desorden;0;0;0;0;0;0;0;0
desastre;1;0;1;1;0;1;1;0
desastroso;1;0;0;1;0;1;0;0
disolver;0;0;0;0;0;0;0;0
incredulidad;0;0;0;0;0;0;0;0
no creer;0;0;0;0;0;0;0;0
desembolsar;0;0;0;0;0;0;0;0
desembolso;0;0;0;0;0;0;0;0
desct;0;0;0;0;0;0;0;0
descartado;0;0;0;0;0;0;0;0
descartes;0;0;0;0;0;0;0;0
discernir;0;0;0;0;0;0;0;0
discernible;0;0;0;0;0;0;0;0
perspicaz;0;0;0;0;0;0;0;0
discernimiento;0;0;0;0;0;0;0;0
descarga;0;0;0;0;0;0;0;0
discípulo;0;0;0;0;0;0;0;1
disciplina;0;0;0;1;0;0;0;0
negar;1;0;1;0;0;0;0;1
renuncia;0;0;0;0;0;0;0;0
revelar;0;0;0;0;0;0;0;0
revelado;0;0;0;0;0;0;0;1
revelación;0;0;0;0;0;0;0;0
descoloramiento;0;0;1;0;0;0;0;0
descolorado;0;0;1;0;0;1;0;0
incomodidad;0;0;0;0;0;1;0;0
desconectar;0;0;0;0;0;1;0;0
desconectado;0;0;0;0;0;1;0;0
desconexión;0;0;0;0;0;0;0;0
descontento;1;0;1;1;0;1;0;0
discontinuación;0;0;0;0;0;0;0;0
discontinuar;0;0;0;0;0;0;0;0
discontinuidad;0;0;1;1;0;1;0;0
discontinuo;0;0;0;0;0;0;0;0
discordia;1;0;1;0;0;0;0;0
descuento;0;0;0;0;0;0;0;0
con descuento;0;0;0;0;0;0;0;0
desalentar;0;0;0;1;0;1;0;0
desanimado;0;0;0;0;0;0;0;0
desánimo;0;0;0;0;0;0;0;0
discurso;0;0;0;0;0;0;0;0
descubrir;0;0;0;0;0;0;0;0
descubrimiento;0;0;0;0;0;0;0;0
descrédito;0;0;0;0;0;0;0;0
NO TRANSLATION;0;1;0;0;0;0;0;0
discrepancia;0;0;0;0;0;0;0;0
discreto;0;0;0;0;0;0;0;0
discreción;0;1;0;0;0;0;0;1
discrecional;0;0;0;0;0;0;0;0
discriminar;1;0;0;0;0;1;0;0
discriminante;0;0;1;0;0;0;0;0
discriminación;1;0;1;1;0;1;0;0
disco;0;0;0;0;0;0;0;0
discutir;0;0;0;0;0;0;0;0
discusión;0;0;0;0;0;0;0;0
desdén;1;0;1;0;0;0;0;0
enfermedad;1;0;1;1;0;1;0;0
enfermo;0;0;1;1;0;1;0;0
incorpóreo;0;0;0;1;0;1;0;0
desacoplar;0;0;0;0;0;0;0;0
retirada;0;0;0;0;0;0;0;0
desfigurado;1;0;1;1;0;1;0;0
desgracia;1;0;1;0;0;1;0;0
NO TRANSLATION;1;0;1;0;0;1;0;0
vergonzoso;1;0;1;0;0;0;0;0
descontento;1;0;1;0;0;1;0;0
disfraz;0;0;0;0;0;0;0;0
disfrazado;0;0;0;0;0;0;0;0
asco;1;0;1;1;0;1;0;0
asqueroso;1;0;1;1;0;0;0;0
plato;0;0;0;0;0;0;0;0
desalentado;0;0;0;0;0;1;0;0
desalentador;0;0;0;0;0;1;0;0
deshonesto;1;0;1;0;0;1;0;0
deshonestidad;0;0;1;0;0;0;0;0
deshonra;1;0;1;1;0;1;0;0
desilusión;1;0;1;0;0;1;0;0
desinfectar;0;0;0;0;0;0;0;0
desinfectante;0;0;0;0;0;0;0;0
desinfección;0;0;0;0;0;0;0;0
desinformación;1;0;0;1;0;0;0;0
FALSO;0;0;1;0;0;0;0;0
desintegrarse;0;0;1;1;0;0;0;0
desintegración;0;0;0;0;0;0;0;0
desinteresado;0;0;0;0;0;0;0;0
desarticular;0;0;0;0;0;0;0;0
inconexo;0;0;0;0;0;0;0;0
disyuntivo;0;0;0;0;0;0;0;0
disco;0;0;0;0;0;0;0;0
disquete;0;0;0;0;0;0;0;0
disgusto;1;0;1;0;0;0;0;0
disgustado;1;0;0;0;0;1;0;0
dislocado;1;0;1;1;0;1;0;0
dislocación;0;0;0;0;0;0;0;0
desalojar;0;0;0;0;0;0;0;0
triste;0;0;1;1;0;1;0;0
consternación;1;1;0;1;0;1;1;0
desmembramiento;0;0;1;1;0;1;0;0
despedir;0;0;0;0;0;0;0;0
despido;1;0;1;1;0;1;1;0
desmontar;0;0;0;0;0;0;0;0
desobediencia;1;0;1;0;0;0;0;0
desobediente;1;0;0;0;0;0;0;0
desobedecer;1;0;1;0;0;0;0;0
trastorno;0;0;0;1;0;0;0;0
desordenado;0;0;0;0;0;0;0;0
desestructurado;0;0;0;0;0;0;0;0
menospreciar;1;0;1;0;0;1;0;0
despectivo;1;0;1;0;0;1;0;0
dispar;0;0;0;0;0;0;0;0
disparidad;1;0;1;0;0;1;0;0
desapasionado;0;0;0;0;0;1;0;0
envío;0;0;0;0;0;0;0;0
disipar;0;0;0;0;0;1;0;0
dispensa;0;0;0;0;0;0;0;0
dispensar;0;0;0;0;0;0;0;0
dispersar;0;0;0;0;0;0;0;0
disperso;0;0;0;0;0;0;0;0
dispersión;0;0;0;0;0;0;0;0
desplazar;0;0;0;0;0;0;0;0
desplazado;1;0;0;1;0;1;0;0
desplazamiento;0;0;0;0;0;0;0;0
monitor;0;0;0;0;0;0;0;0
disgustado;1;0;1;1;0;1;0;0
disgusto;0;0;1;0;0;0;0;0
disposición;0;0;0;0;0;0;0;0
disponer;0;0;1;0;0;0;0;0
dispuesto;0;1;0;0;0;0;0;1
disposición;0;0;0;0;0;0;0;0
desposeído;1;0;0;1;0;1;0;0
refutar;0;0;0;0;0;0;0;0
disputa;1;0;0;0;0;0;0;0
descalificación;0;0;0;0;0;0;0;0
descalificado;1;0;1;0;0;1;0;0
descalificar;0;0;0;0;0;1;0;0
indiferencia;0;0;0;0;0;0;0;0
ignorado;0;0;1;0;0;0;0;0
de mala fama;1;0;1;1;0;0;0;0
mala fama;0;0;0;0;0;0;0;0
falta de respeto;1;0;0;0;0;0;0;0
irrespetuoso;1;0;1;1;0;1;0;0
ruptura;1;0;0;1;0;0;1;0
insatisfacción;0;0;0;0;0;0;0;0
insatisfecho;0;0;0;0;0;0;0;0
disecar;0;0;0;0;0;0;0;0
disección;0;0;1;0;0;0;0;0
diseminar;0;0;0;0;0;0;0;0
diseminación;0;0;0;0;0;0;0;0
disensión;1;0;0;0;0;0;0;0
disentimiento;0;0;0;0;0;0;0;0
disidente;0;0;0;0;0;0;0;0
disertación;0;0;0;0;0;0;0;0
deservicio;1;0;1;0;0;1;0;0
disidente;1;0;0;1;0;0;0;0
disímil;0;0;0;0;0;0;0;0
disipar;0;0;0;0;0;0;0;0
disipado;0;0;0;0;0;0;0;0
disociación;0;0;0;0;0;0;0;0
disolución;1;0;0;1;0;1;1;0
disolver;0;0;0;0;0;0;0;0
disonancia;1;0;0;0;0;0;0;0
disuadir;0;0;0;0;0;0;0;0
distal;0;0;0;0;0;0;0;0
distancia;0;0;0;0;0;0;0;0
distante;0;0;0;0;0;0;0;0
disgusto;0;0;1;0;0;0;0;0
desagradable;0;0;1;0;0;0;0;0
destilar;0;0;0;0;0;0;0;0
destilación;0;0;0;0;0;0;0;0
distinción;0;0;0;0;0;0;0;0
distintivo;0;0;0;0;0;0;0;0
distinguir;0;0;0;0;0;0;0;0
distinguible;0;0;0;0;0;0;0;0
distinguido;0;0;0;0;0;0;0;0
distintivo;0;0;0;0;0;0;0;0
distorsionado;0;0;1;0;0;0;0;0
distorsión;0;0;0;0;0;0;0;0
distraer;0;0;0;0;0;0;0;0
distraído;1;0;0;0;0;0;0;0
distraer;1;1;0;0;0;0;0;0
distracción;0;0;0;0;0;0;0;0
loco;0;0;0;0;0;1;0;0
angustia;1;0;1;1;0;1;1;0
afligido;0;0;0;1;0;0;0;0
angustioso;1;0;0;1;0;0;0;0
distribuir;0;0;0;0;0;0;0;0
distribución;0;0;0;0;0;0;0;0
distrito;0;0;0;0;0;0;0;0
desconfianza;1;0;1;1;0;0;0;0
disturbio;1;0;0;1;0;1;1;0
perturbado;1;0;0;0;0;1;0;0
desuso;0;0;0;0;0;0;0;0
en desuso;1;0;0;0;0;0;0;0
zanja;0;0;0;0;0;0;0;0
ídem;0;0;0;0;0;0;0;0
cancioneta;0;0;0;0;1;0;0;0
diurno;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;1
bucear;0;0;0;0;0;0;0;0
buzo;0;0;0;0;0;0;0;0
divergir;0;0;0;0;0;0;0;0
divergencia;0;0;0;0;0;0;0;0
divergente;0;0;0;0;0;0;1;0
divergente;0;0;0;0;0;0;0;0
diversos;0;0;0;0;0;0;0;0
diverso;0;0;0;0;0;0;0;0
diversificado;0;0;0;0;0;0;0;0
diversificar;0;0;0;0;0;0;0;0
desviación;0;0;0;0;0;0;1;0
diversidad;0;0;0;0;0;0;0;0
desviar;0;0;0;0;0;0;0;0
divertido;0;0;0;0;0;0;0;0
despojar;0;0;0;0;0;0;0;0
desinvertido;0;0;0;0;0;0;0;0
despojo;0;0;0;0;0;0;0;0
dividir;0;0;0;0;0;0;0;0
dividido;0;0;0;0;0;0;0;0
dividendo;0;0;0;0;0;0;0;0
divinidad;0;1;0;0;0;0;0;0
adivinar;0;0;0;0;0;0;0;0
divinidad;0;0;0;0;0;0;0;0
divisible;0;0;0;0;0;0;0;0
división;0;0;0;0;0;0;0;0
divisor;0;0;0;0;0;0;0;0
divorcio;1;0;1;1;0;1;1;1
divulgar;0;0;0;0;0;0;0;0
mareo;0;0;0;0;0;0;0;0
mareado;0;0;0;0;0;0;0;0
dócil;0;0;0;0;0;0;0;0
muelle;0;0;0;0;0;0;0;0
atracado;0;0;0;0;0;0;0;0
legajo;0;0;0;0;0;0;0;0
doctor;0;0;0;0;0;0;0;1
doctrinal;0;0;0;0;0;0;0;0
doctrina;0;0;0;0;0;0;0;1
documento;0;0;0;0;0;0;0;0
documental;0;0;0;0;0;0;0;0
esquivar;0;0;0;0;0;0;0;0
regate;0;0;0;0;0;0;0;0
gama;0;0;0;0;0;0;0;0
hacedor;0;0;0;0;0;0;0;0
perro;0;0;0;0;0;0;0;0
obstinado;0;0;0;0;0;0;0;0
dogma;0;0;0;0;0;0;0;1
dogmático;0;0;0;0;0;0;0;0
hechos;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
zona de las calmas ecuatoriales;0;0;0;0;0;1;0;0
limosna;0;0;0;0;0;1;0;0
muñeca;0;0;0;0;1;0;0;0
dólar;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;1;0;0
delfín;0;0;0;0;1;0;1;1
dominio;0;0;0;0;0;0;0;0
Hazme;0;0;0;0;0;0;0;0
nacional;0;0;0;0;0;0;0;0
domesticado;0;0;0;0;0;0;0;0
domesticación;0;0;0;0;0;0;0;0
domicilio;0;0;0;0;0;0;0;0
domiciliado;0;0;0;0;0;0;0;0
dominio;0;0;0;0;0;0;0;0
dominante;0;0;0;1;0;0;0;0
dominar;1;0;0;1;0;0;0;0
dominante;0;0;0;0;0;0;0;0
dominación;1;0;0;1;0;1;0;0
dominio;0;0;0;1;0;0;0;1
dominó;0;0;0;0;0;0;0;0
don;0;0;0;0;0;0;0;1
donación;0;0;0;0;0;0;0;0
Burro;0;0;1;0;0;0;0;0
donante;0;0;0;0;0;0;0;0
garabatear;0;0;0;0;0;0;0;0
condenar;0;0;0;1;0;0;0;0
condenado;0;0;0;1;0;1;0;0
Día del Juicio Final;1;1;1;1;0;1;0;0
puerta;0;0;0;0;0;0;0;0
timbre de la puerta;0;0;0;0;0;0;0;0
puerta;0;0;0;0;0;0;0;0
latente;0;0;0;0;0;0;0;0
dormitorio;0;0;0;0;0;0;0;0
dorsal;0;0;0;0;0;0;0;0
dosis;0;0;0;0;0;0;0;0
punto;0;0;0;0;0;0;0;0
doble;0;0;0;0;0;0;0;0
duplicado;0;0;0;0;0;0;0;0
doblete;0;0;0;0;0;0;0;0
duplicación;0;0;0;0;0;0;0;0
duda;0;0;0;1;0;1;0;1
dudoso;0;0;0;0;0;0;0;0
inseguro;0;0;0;0;0;0;0;0
indudable;0;0;0;0;0;0;0;1
ducha;0;0;0;0;0;0;0;0
masa;0;0;0;0;0;0;0;0
rosquilla;0;0;0;0;0;0;0;0
austero;0;0;0;0;0;0;0;0
paloma;0;1;0;0;1;0;0;1
alicaído;0;0;0;0;0;0;0;0
caída;0;0;0;1;0;1;0;0
cuesta abajo;0;0;0;0;0;0;0;0
aguacero;0;0;0;0;0;0;0;0
completamente;0;0;0;0;0;0;0;1
velloso;0;0;0;0;0;0;0;0
dote;0;0;0;0;0;0;0;0
dormitar;0;0;0;0;0;0;0;0
docena;0;0;0;0;0;0;0;0
monótono;0;0;0;0;0;1;0;0
borrador;0;1;0;0;0;0;0;0
arrastrar;0;0;0;0;0;0;0;0
continuar;0;0;0;1;0;0;0;0
desagüe;0;0;0;0;0;0;0;0
drenaje;0;0;0;0;0;0;0;0
agotado;0;0;0;0;0;0;0;0
pato;0;0;0;0;0;0;0;0
drama;0;0;0;0;0;0;0;0
dramático;0;0;0;0;0;0;0;0
cubrir;0;0;0;0;0;0;0;0
pañería;0;0;0;0;0;0;0;0
drástico;0;0;0;0;0;0;0;0
borrador;0;0;0;0;0;0;0;0
dibujar;0;0;0;0;0;0;0;0
retirarse;0;0;0;0;0;0;0;0
cajón;0;0;0;0;0;0;0;0
cajones;0;0;0;0;0;0;0;0
dibujo;0;0;0;0;0;0;0;0
pavor;0;1;0;1;0;0;0;0
terrible;1;1;1;1;0;1;0;0
horrorosamente;0;0;1;1;0;1;1;0
sueño;0;0;0;0;0;0;0;0
soñador;0;0;0;0;0;0;0;0
soñando;0;0;0;0;0;0;0;0
soñador;0;0;0;0;0;0;0;0
triste;0;0;0;0;0;1;0;0
dragar;0;0;0;0;0;0;0;0
empapado;0;0;0;0;0;0;0;0
vestidor;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
seco;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
deriva;0;0;0;0;0;0;0;0
a la deriva;0;0;0;0;0;0;0;0
perforar;0;0;0;0;0;0;0;0
beber;0;0;0;0;0;0;0;0
bebida;0;0;0;0;0;0;0;0
goteo;0;0;0;0;0;0;0;0
goteo;0;0;0;0;0;0;0;0
mentiras;0;0;1;0;0;0;0;0
conductor;0;0;0;0;0;0;0;0
entrada de coches;0;0;0;0;0;0;0;0
llovizna;0;0;0;0;0;0;0;0
gracioso;0;0;0;0;0;0;0;0
zumbido;0;0;0;0;0;0;0;0
babear;0;0;1;0;0;0;0;0
caído;0;0;0;0;0;0;0;0
soltar;0;0;0;0;0;0;0;0
gotita;0;0;0;0;0;0;0;0
sequía;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
ahogar;0;0;0;1;0;1;0;0
somnolencia;0;0;0;0;0;0;0;0
soñoliento;0;0;0;0;0;0;0;0
trabajo penoso;0;0;0;0;0;0;0;0
droga;0;0;0;0;0;0;0;0
drogado;0;0;0;0;0;1;0;0
farmacia;0;0;0;0;0;0;0;0
druida;0;0;0;0;0;0;0;0
tambor;0;0;0;0;0;0;0;0
batería;0;0;0;0;0;0;0;0
tamborileando;0;0;0;0;0;0;0;0
borracho;0;0;1;0;0;0;0;0
embriaguez;0;0;0;0;0;0;0;0
seco;0;0;0;0;0;0;0;0
sequedad;0;0;0;0;0;0;0;0
doble;0;0;0;0;0;0;0;0
dualismo;0;0;0;0;0;0;0;0
dualidad;0;0;0;0;0;0;0;0
doblar;0;0;0;0;0;0;0;0
dudoso;0;0;0;1;0;0;0;1
agachado;0;0;0;0;0;0;0;0
conducto;0;0;0;0;0;0;0;0
dúctil;0;0;0;0;0;0;0;0
prendas de vestir;0;0;0;0;0;0;0;0
debido;0;0;0;0;0;0;0;0
duelo;1;1;0;1;0;0;0;0
cuota de socio;0;0;0;0;0;0;0;0
dueto;0;0;0;0;0;0;0;0
refugio subterráneo;0;0;0;0;0;0;0;0
duque;0;0;0;0;0;0;0;0
aburrido;0;0;0;0;0;1;0;0
tonto;0;0;0;0;0;0;0;0
tonto;0;0;0;0;0;0;0;0
tugurio;0;0;0;0;0;0;0;0
deshecho;1;0;0;0;0;1;0;0
pardo;0;0;0;0;0;0;0;0
duna;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;1;0;0;0;0;0
mazmorra;0;0;0;1;0;0;0;0
dúo;0;0;0;0;0;0;0;0
engañar;1;0;0;0;0;0;0;0
dúplex;0;0;0;0;0;0;0;0
duplicar;0;0;0;0;0;0;0;0
duplicación;0;0;0;0;0;0;0;0
duplicidad;1;0;0;0;0;0;0;0
durabilidad;0;0;0;0;0;0;0;1
durable;0;0;0;0;0;0;0;1
duración;0;0;0;0;0;0;0;0
coacción;1;0;1;1;0;1;0;0
oscuridad;0;0;0;0;0;0;0;0
oscuro;0;0;0;0;0;0;0;0
polvo;0;0;0;0;0;0;0;0
plumero;0;0;0;0;0;0;0;0
polvoriento;0;0;0;0;0;0;0;0
obediente;0;1;0;0;0;0;0;1
enano;0;0;0;0;0;0;0;0
empequeñecido;0;0;0;1;0;1;0;0
habitar;0;0;0;0;0;0;0;0
habitante;0;0;0;0;0;0;0;0
vivienda;0;0;0;0;0;0;0;0
colorante;0;0;0;0;0;0;0;0
moribundo;1;0;1;1;0;1;0;0
dique;0;0;0;0;0;0;0;0
dinámica;0;0;0;0;0;0;1;0
dinámico;0;0;0;0;0;0;0;0
dinámica;0;0;0;0;0;0;0;0
dinamita;0;0;0;0;0;0;0;0
dinastía;0;0;0;0;0;0;0;0
disentería;0;0;1;0;0;1;0;0
dispepsia;0;0;0;0;0;0;0;0
ansioso;0;1;0;0;1;0;1;1
afán;0;1;0;0;1;0;0;1
águila;0;0;0;0;0;0;0;1
oreja;0;0;0;0;0;0;0;0
conde;0;0;0;0;0;0;0;0
más temprano;0;0;0;0;0;0;0;0
temprano;0;0;0;0;0;0;0;0
ganar;0;0;0;0;0;0;0;0
serio;0;0;0;0;0;0;0;0
formalmente;0;0;0;0;0;0;0;0
seriedad;0;0;0;0;0;0;0;0
ganancias;0;0;0;0;0;0;0;0
arete;0;0;0;0;0;0;0;0
alcance del oído;0;0;0;0;0;0;0;0
tierra;0;0;0;0;0;0;0;0
loza de barro;0;0;0;0;0;0;0;0
terrenal;0;0;0;0;0;0;0;0
terremoto;1;0;0;1;0;1;1;0
terroso;0;0;0;0;0;0;0;0
facilitar;0;0;0;0;0;0;0;0
caballete;0;0;0;0;0;0;0;0
comodidad;0;0;0;0;0;0;0;0
fácilmente;0;0;0;0;0;0;0;0
fácil;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
comer;0;0;0;0;0;0;0;0
comiendo;0;0;0;0;0;0;0;0
escuchas;0;0;0;0;0;0;0;0
reflujo;0;0;0;0;0;0;0;0
ébano;0;0;0;0;0;0;0;0
excéntrico;0;0;0;0;0;0;0;0
excentricidad;0;0;0;0;0;0;0;0
eclesiástico;0;0;0;0;0;0;0;0
eco;0;0;0;0;0;0;0;0
ecléctico;0;0;0;0;0;0;0;0
eclipse;0;0;0;0;0;0;0;0
eclíptica;0;0;0;0;0;0;0;0
económico;0;0;0;0;0;0;0;0
ciencias económicas;0;0;0;0;0;0;0;0
economía;0;0;0;0;0;0;0;1
éxtasis;0;1;0;0;1;0;0;0
extático;0;1;0;0;1;0;1;0
ecuménico;0;0;0;0;0;0;0;0
remolino;0;0;0;0;0;0;0;0
borde;0;0;0;0;0;0;0;0
cenefa;0;0;0;0;0;0;0;0
comestible;0;0;0;0;0;0;0;0
edicto;0;0;0;1;0;0;0;0
edificación;0;1;0;0;1;0;0;1
edificio;0;0;0;0;0;0;0;0
editar;0;0;0;0;0;0;0;0
edición;0;1;0;0;0;0;0;0
editor;0;0;0;0;0;0;0;0
editorial;0;0;0;0;0;0;0;0
educar;0;0;0;0;0;0;0;0
educado;0;0;0;0;0;0;0;0
educación;0;0;0;0;0;0;0;0
educativo;0;0;0;0;0;0;0;1
Anguila;0;0;0;1;0;0;0;0
efecto;0;0;0;0;0;0;0;0
eficaz;0;0;0;0;0;0;0;1
efectos;0;0;0;0;0;0;0;0
eficaz;0;0;0;0;0;0;0;0
efectivamente;0;0;0;0;0;0;0;0
efectuar;0;0;0;0;0;0;0;0
afeminado;0;0;0;0;0;0;0;0
eficaz;0;0;0;0;0;0;0;0
eficacia;0;0;0;0;0;0;0;0
eficiencia;0;0;0;0;0;0;0;0
eficiente;0;1;0;0;0;0;0;1
efigie;1;0;0;0;0;0;0;0
